                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6369,                 2.9715,                  3.713,                0.00086,                0.22362,                0.00497,                0.00097,                 1.6271,                 3.1593,                 3.5757,                0.06475,               0.001203,               0.001203
                      2,                 1.3891,                 2.4899,                 3.1219,                0.01461,                0.06689,                0.00799,                0.00234,                 1.6167,                 3.2812,                 3.7695,               0.028999,              0.0023981,              0.0023981
                      3,                 1.2519,                 2.3397,                 2.9252,                0.07948,                0.29227,                0.10795,                0.03448,                 1.2959,                 4.7085,                 3.3027,              0.0032343,              0.0032343,              0.0032343
                      4,                 1.1631,                 2.2642,                 2.7879,                0.22955,                 0.2989,                0.07878,                 0.0222,                 1.2858,                 3.4346,                 3.0938,              0.0032015,              0.0032015,              0.0032015
                      5,                 1.0973,                 2.1261,                 2.6351,                0.29405,                0.32304,                0.12156,                0.04072,                 1.1796,                 3.1633,                 2.9484,              0.0031687,              0.0031687,              0.0031687
                      6,                 1.0412,                 2.0559,                 2.5662,                0.10321,                0.22974,                0.07728,                0.02168,                 1.2726,                  2.642,                 3.0426,              0.0031358,              0.0031358,              0.0031358
                      7,                0.98215,                 1.9379,                 2.4431,                0.37783,                0.41322,                0.22968,                0.07845,                 1.0154,                 2.4998,                 2.5811,               0.003103,               0.003103,               0.003103
                      8,                0.95377,                  1.864,                 2.3749,                0.27037,                 0.2714,                0.09997,                0.02946,                  1.337,                 3.2015,                 3.1611,              0.0030702,              0.0030702,              0.0030702
                      9,                0.93096,                 1.7929,                 2.3301,                0.10607,                0.13319,                0.05537,                0.01574,                 1.1561,                 2.7063,                 2.9125,              0.0030373,              0.0030373,              0.0030373
                     10,                0.91518,                 1.7602,                 2.2965,                 0.3852,                0.30039,                0.19429,                 0.0652,                 1.1224,                 2.1205,                 2.7218,              0.0030045,              0.0030045,              0.0030045
                     11,                0.90377,                 1.7372,                 2.2649,                0.47132,                0.40875,                0.34842,                0.12866,                0.96797,                 1.7137,                 2.4635,              0.0029717,              0.0029717,              0.0029717
                     12,                0.88096,                 1.7205,                 2.2117,                0.43385,                0.36685,                0.30024,                0.11764,                0.97872,                 1.8683,                 2.4322,              0.0029388,              0.0029388,              0.0029388
                     13,                0.87546,                 1.7062,                  2.199,                0.46982,                0.30979,                0.30586,                0.10954,                0.99902,                 2.1425,                 2.5537,               0.002906,               0.002906,               0.002906
                     14,                0.84102,                 1.6139,                 2.1343,                0.46155,                0.38103,                0.35307,                0.13606,                0.95623,                 1.6275,                 2.3727,              0.0028732,              0.0028732,              0.0028732
                     15,                0.83999,                 1.6211,                 2.1296,                0.51409,                0.44868,                0.38184,                0.15508,                0.92373,                 1.5906,                 2.3133,              0.0028403,              0.0028403,              0.0028403
                     16,                0.82479,                 1.5648,                 2.0984,                0.28862,                0.42121,                0.34232,                0.13494,                0.95594,                 1.6939,                 2.3926,              0.0028075,              0.0028075,              0.0028075
                     17,                  0.835,                  1.598,                 2.1282,                0.69297,                0.36282,                0.43624,                0.17964,                 0.8585,                 1.7888,                 2.2193,              0.0027747,              0.0027747,              0.0027747
                     18,                0.82358,                 1.5763,                 2.0801,                0.52728,                 0.4706,                0.43578,                0.18937,                0.85872,                 1.5506,                 2.1865,              0.0027418,              0.0027418,              0.0027418
                     19,                0.80213,                 1.5281,                 2.0358,                0.64019,                0.23363,                0.23759,                 0.0875,                 1.0477,                 2.3167,                  2.622,               0.002709,               0.002709,               0.002709
                     20,                0.79923,                 1.5192,                 2.0303,                0.33497,                0.47943,                0.41749,                0.18545,                0.85271,                 1.5665,                  2.213,              0.0026762,              0.0026762,              0.0026762
                     21,                0.78442,                 1.4723,                 2.0041,                0.44428,                 0.5689,                0.52517,                0.21539,                0.84015,                 1.4968,                 2.1843,              0.0026434,              0.0026434,              0.0026434
                     22,                 0.7927,                 1.5099,                 2.0306,                0.57298,                0.45963,                0.48216,                 0.1848,                0.86199,                 1.5621,                 2.2029,              0.0026105,              0.0026105,              0.0026105
                     23,                0.78989,                 1.4889,                  1.993,                0.52929,                0.44874,                0.42515,                0.18588,                0.83703,                 1.6024,                 2.2091,              0.0025777,              0.0025777,              0.0025777
                     24,                0.78037,                 1.4619,                 1.9902,                0.51717,                0.53611,                0.50063,                0.20867,                0.86649,                 1.4935,                 2.1734,              0.0025449,              0.0025449,              0.0025449
                     25,                0.79904,                 1.4868,                 2.0229,                0.59741,                0.49482,                0.53546,                0.23371,                 0.8331,                 1.4362,                 2.1316,               0.002512,               0.002512,               0.002512
                     26,                0.78242,                 1.4502,                 1.9897,                0.61693,                0.43163,                0.45285,                0.18593,                0.90355,                 1.6082,                 2.2407,              0.0024792,              0.0024792,              0.0024792
                     27,                0.77679,                  1.416,                 1.9659,                0.66433,                0.44648,                0.52525,                0.22809,                 0.8512,                 1.4111,                 2.1825,              0.0024464,              0.0024464,              0.0024464
                     28,                0.76404,                 1.4351,                 1.9571,                0.62135,                0.42858,                0.46354,                0.19608,                  0.853,                 1.5626,                  2.167,              0.0024135,              0.0024135,              0.0024135
                     29,                0.76291,                 1.4051,                 1.9712,                0.41411,                0.51952,                  0.474,                0.21156,                0.85636,                 1.5005,                 2.1931,              0.0023807,              0.0023807,              0.0023807
                     30,                0.75023,                 1.4042,                 1.9513,                0.45167,                0.54427,                0.52132,                0.22724,                0.83433,                 1.4467,                 2.1652,              0.0023479,              0.0023479,              0.0023479
                     31,                0.74556,                 1.3923,                 1.9291,                0.55812,                0.47889,                0.47872,                0.21407,                0.83906,                 1.4258,                 2.1688,               0.002315,               0.002315,               0.002315
                     32,                0.74896,                 1.3763,                 1.9317,                 0.4518,                 0.5846,                0.55637,                0.25661,                 0.7771,                 1.4256,                 2.0706,              0.0022822,              0.0022822,              0.0022822
                     33,                0.76359,                  1.391,                 1.9417,                 0.5362,                0.54803,                0.53575,                 0.2556,                0.78639,                 1.4768,                  2.103,              0.0022494,              0.0022494,              0.0022494
                     34,                0.72976,                 1.3563,                 1.9137,                 0.5887,                0.58768,                0.61402,                0.30541,                0.75534,                 1.3233,                 2.0328,              0.0022165,              0.0022165,              0.0022165
                     35,                0.73538,                 1.3503,                  1.921,                0.71112,                0.44232,                0.52938,                0.26197,                0.76456,                 1.4243,                   2.04,              0.0021837,              0.0021837,              0.0021837
                     36,                0.73554,                 1.3327,                 1.8949,                0.63288,                0.50103,                0.57004,                0.28404,                0.77896,                 1.3508,                 2.0703,              0.0021509,              0.0021509,              0.0021509
                     37,                0.72785,                  1.327,                 1.8961,                0.37043,                 0.4747,                0.41781,                0.18262,                0.89551,                  1.735,                 2.3147,               0.002118,               0.002118,               0.002118
                     38,                0.74507,                  1.346,                 1.9101,                0.62709,                0.52762,                0.54355,                0.25875,                0.80982,                 1.3902,                 2.0705,              0.0020852,              0.0020852,              0.0020852
                     39,                0.72374,                 1.3125,                 1.8636,                0.70902,                0.51184,                0.58594,                0.28259,                0.78205,                 1.3181,                 2.0489,              0.0020524,              0.0020524,              0.0020524
                     40,                0.72999,                 1.2988,                 1.8883,                0.54718,                0.60633,                0.56544,                0.25433,                0.81693,                 1.4037,                 2.1412,              0.0020195,              0.0020195,              0.0020195
                     41,                0.73066,                 1.3259,                 1.8922,                0.46141,                0.52906,                0.52054,                0.25003,                0.82979,                 1.5217,                 2.2782,              0.0019867,              0.0019867,              0.0019867
                     42,                0.71982,                 1.3006,                 1.8959,                0.74321,                 0.4561,                0.59025,                0.27397,                0.79215,                 1.3647,                  2.118,              0.0019539,              0.0019539,              0.0019539
                     43,                 0.7331,                 1.3032,                 1.8993,                0.58025,                0.61868,                0.62328,                0.29663,                0.76088,                 1.3027,                 2.0793,               0.001921,               0.001921,               0.001921
                     44,                0.72172,                  1.298,                 1.8766,                0.66492,                  0.428,                0.51122,                0.24617,                0.82236,                 1.4902,                 2.1452,              0.0018882,              0.0018882,              0.0018882
                     45,                0.70852,                 1.2762,                 1.8552,                0.67196,                0.50489,                0.55145,                0.27008,                0.81798,                 1.3908,                 2.1368,              0.0018554,              0.0018554,              0.0018554
                     46,                0.71408,                 1.3002,                 1.8692,                0.74773,                0.52765,                0.62522,                0.31715,                0.74195,                 1.2872,                  2.019,              0.0018225,              0.0018225,              0.0018225
                     47,                0.71094,                 1.3017,                 1.8576,                0.53987,                0.53689,                0.56205,                0.25869,                 0.8227,                  1.452,                 2.2015,              0.0017897,              0.0017897,              0.0017897
                     48,                0.70724,                 1.2815,                 1.8394,                0.57755,                0.61164,                0.63754,                0.32678,                0.72666,                 1.3057,                 1.9913,              0.0017569,              0.0017569,              0.0017569
                     49,                0.70826,                 1.2982,                 1.8487,                  0.491,                 0.5932,                  0.607,                0.29366,                0.76114,                 1.2875,                 2.0317,               0.001724,               0.001724,               0.001724
                     50,                0.71563,                 1.2839,                 1.8563,                0.68958,                0.56521,                0.62197,                 0.3134,                0.72016,                 1.3109,                 1.9951,              0.0016912,              0.0016912,              0.0016912
                     51,                0.71269,                 1.2778,                 1.8475,                 0.5749,                0.60611,                0.64014,                0.31595,                0.73653,                 1.2986,                 2.0059,              0.0016584,              0.0016584,              0.0016584
                     52,                0.70463,                 1.2633,                 1.8385,                0.62192,                0.54011,                0.57984,                0.28213,                0.77753,                 1.3885,                 2.0679,              0.0016255,              0.0016255,              0.0016255
                     53,                0.69139,                 1.2219,                 1.8095,                0.58348,                0.62568,                0.63685,                0.33071,                0.72493,                 1.2931,                 1.9959,              0.0015927,              0.0015927,              0.0015927
                     54,                 0.6949,                 1.2388,                  1.814,                0.51131,                0.59444,                0.58736,                0.28439,                0.77093,                  1.349,                 2.0526,              0.0015599,              0.0015599,              0.0015599
                     55,                0.69133,                 1.2472,                 1.8287,                0.57454,                0.58634,                0.58863,                0.28678,                0.77485,                 1.3739,                 2.0663,              0.0015271,              0.0015271,              0.0015271
                     56,                0.70115,                 1.2485,                 1.8471,                0.60124,                0.54036,                0.59081,                0.29276,                0.79345,                 1.4186,                 2.1077,              0.0014942,              0.0014942,              0.0014942
                     57,                0.69711,                  1.242,                 1.8118,                0.52321,                0.53898,                0.55437,                0.27703,                0.78849,                 1.3974,                 2.0756,              0.0014614,              0.0014614,              0.0014614
                     58,                0.69537,                 1.2234,                 1.8098,                0.55092,                0.60597,                 0.6267,                0.31607,                0.75813,                 1.2426,                 2.0327,              0.0014286,              0.0014286,              0.0014286
                     59,                0.67948,                 1.2019,                 1.7954,                0.74665,                0.54427,                0.66679,                0.34722,                0.71695,                 1.1988,                 1.9616,              0.0013957,              0.0013957,              0.0013957
                     60,                0.69241,                  1.213,                 1.8135,                0.45911,                0.52382,                0.51512,                0.24849,                 0.8502,                 1.4948,                 2.2057,              0.0013629,              0.0013629,              0.0013629
                     61,                0.69073,                 1.2312,                 1.8109,                0.75646,                0.53888,                0.66181,                0.34001,                0.71642,                 1.2063,                 1.9564,              0.0013301,              0.0013301,              0.0013301
                     62,                0.68845,                 1.2003,                 1.8042,                0.71684,                0.55552,                0.63651,                0.31536,                0.74614,                 1.2716,                 1.9988,              0.0012972,              0.0012972,              0.0012972
                     63,                0.68983,                 1.2056,                 1.7833,                0.61444,                0.61239,                0.65228,                0.34087,                0.72997,                 1.2063,                 1.9423,              0.0012644,              0.0012644,              0.0012644
                     64,                0.68172,                 1.1845,                 1.7845,                 0.6313,                0.67251,                0.69356,                0.35898,                0.70712,                  1.206,                 1.9582,              0.0012316,              0.0012316,              0.0012316
                     65,                 0.6776,                 1.1774,                 1.8006,                0.64951,                0.64869,                0.68984,                0.35759,                0.73069,                 1.1887,                 1.9888,              0.0011987,              0.0011987,              0.0011987
                     66,                0.68822,                 1.2024,                 1.8064,                0.58555,                0.58996,                 0.6227,                0.29921,                0.76322,                 1.3137,                 2.0323,              0.0011659,              0.0011659,              0.0011659
                     67,                 0.6764,                 1.2032,                  1.793,                0.61147,                0.62332,                0.67145,                 0.3318,                0.73164,                  1.214,                 1.9763,              0.0011331,              0.0011331,              0.0011331
                     68,                 0.6722,                 1.1785,                 1.7796,                 0.6447,                0.61255,                0.66747,                0.33013,                0.72994,                 1.2013,                  2.002,              0.0011002,              0.0011002,              0.0011002
                     69,                0.66544,                 1.1562,                 1.7509,                0.74935,                0.53325,                0.63827,                0.32001,                0.74234,                 1.2341,                 2.0014,              0.0010674,              0.0010674,              0.0010674
                     70,                0.67745,                 1.1868,                 1.7958,                0.77675,                0.55692,                0.65962,                0.34228,                0.71537,                 1.1794,                 1.9677,              0.0010346,              0.0010346,              0.0010346
                     71,                0.67787,                 1.1758,                 1.7878,                0.58181,                0.61977,                0.66635,                0.35019,                0.71882,                 1.1964,                 1.9589,              0.0010017,              0.0010017,              0.0010017
                     72,                0.66711,                 1.1802,                 1.7777,                0.61007,                0.59355,                0.63966,                0.33028,                 0.7372,                 1.3277,                 2.0499,              0.0009689,              0.0009689,              0.0009689
                     73,                0.65842,                 1.1416,                 1.7535,                0.51829,                0.64073,                0.62383,                0.32447,                0.73243,                 1.2665,                 1.9874,             0.00093607,             0.00093607,             0.00093607
                     74,                0.67328,                 1.1585,                 1.7713,                 0.6036,                0.63372,                0.66647,                0.33477,                0.75224,                 1.2362,                 2.0309,             0.00090324,             0.00090324,             0.00090324
                     75,                0.66882,                 1.1606,                 1.7759,                0.63377,                0.55234,                0.62745,                0.33518,                0.73146,                 1.2171,                 1.9961,             0.00087041,             0.00087041,             0.00087041
