                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6434,                 2.6481,                  3.726,                0.51799,                 0.0114,                0.00817,                0.00232,                  1.659,                 3.7793,                 3.7219,               0.059672,                0.00148,                0.00148
                      2,                 1.3246,                  2.222,                 3.1021,                0.37165,                0.04777,                0.02364,                0.00623,                 1.4796,                 3.0263,                 3.6548,                0.01877,              0.0029503,              0.0029503
                      3,                 1.1717,                 2.0225,                 2.8098,                0.71984,                0.05337,                0.03957,                0.01156,                 1.3618,                 6.5087,                 3.5127,              0.0034695,              0.0034695,              0.0034695
                      4,                 1.0895,                 1.8978,                 2.6597,                 0.7331,                0.08736,                0.06454,                0.02032,                 1.2679,                 3.4127,                 3.1675,              0.0034342,              0.0034342,              0.0034342
                      5,                 1.0401,                 1.8471,                 2.5612,                 0.3864,                0.17419,                0.04713,                0.01504,                 1.1862,                 2.5793,                 2.8891,               0.003399,               0.003399,               0.003399
                      6,                0.98186,                 1.7184,                 2.4695,                0.16061,                0.45704,                0.18732,                0.06185,                 1.1104,                 2.2389,                  2.705,              0.0033637,              0.0033637,              0.0033637
                      7,                0.94725,                 1.6252,                 2.3871,                0.31244,                0.46887,                0.33784,                0.11379,                 1.0025,                 1.6445,                  2.495,              0.0033284,              0.0033284,              0.0033284
                      8,                0.92335,                    1.6,                 2.3352,                0.30043,                0.41213,                 0.3009,                0.11583,                0.98054,                 1.7581,                 2.5121,              0.0032932,              0.0032932,              0.0032932
                      9,                 0.9023,                 1.5618,                 2.3027,                0.30678,                0.27194,                0.15686,                0.05212,                 1.1331,                 2.7228,                 2.8111,              0.0032579,              0.0032579,              0.0032579
                     10,                0.87117,                 1.5043,                 2.2439,                0.50656,                0.45576,                0.37881,                 0.1567,                0.90977,                 1.5423,                 2.3424,              0.0032227,              0.0032227,              0.0032227
                     11,                0.89022,                  1.501,                 2.2609,                 0.2869,                0.38806,                0.30692,                0.11722,                0.97787,                  1.575,                 2.4011,              0.0031874,              0.0031874,              0.0031874
                     12,                0.85327,                 1.4471,                 2.2033,                0.51039,                0.38097,                 0.3437,                0.14326,                0.92053,                 1.7521,                 2.3483,              0.0031522,              0.0031522,              0.0031522
                     13,                0.84482,                 1.4466,                 2.1839,                0.56181,                0.46159,                0.43689,                0.17942,                0.90574,                 1.5117,                 2.3026,              0.0031169,              0.0031169,              0.0031169
                     14,                0.83149,                 1.3939,                 2.1654,                0.49508,                0.15209,                0.18013,                0.06613,                  1.216,                 2.5431,                 3.0936,              0.0030816,              0.0030816,              0.0030816
                     15,                0.82572,                 1.3739,                 2.1218,                0.46833,                0.46774,                0.45968,                0.17779,                0.92314,                 1.3898,                 2.2731,              0.0030464,              0.0030464,              0.0030464
                     16,                0.82528,                 1.3601,                 2.1289,                0.40739,                0.33594,                0.36978,                 0.1418,                0.94794,                 1.5411,                 2.3552,              0.0030111,              0.0030111,              0.0030111
