                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6347,                 2.8383,                 3.8053,                0.00303,                0.21399,                0.01065,                0.00244,                 1.6394,                 3.8597,                 3.6595,               0.063676,              0.0012396,              0.0012396
                      2,                 1.3814,                 2.3832,                 3.2065,                0.70611,                0.09513,                0.03555,                0.00876,                  1.533,                 5.4038,                 3.7904,               0.026837,              0.0024711,              0.0024711
                      3,                 1.2011,                 2.1706,                 2.9363,                0.01171,                0.18418,                0.00793,                0.00205,                 1.5203,                 10.377,                 3.7407,              0.0032343,              0.0032343,              0.0032343
                      4,                  1.119,                  2.064,                 2.7811,                0.20716,                0.18803,                0.03468,                0.00828,                 1.3252,                 3.6838,                 3.4128,              0.0032015,              0.0032015,              0.0032015
                      5,                 1.0622,                 1.9641,                 2.6522,                0.63545,                0.18863,                0.18701,                0.05994,                 1.0995,                 2.5501,                 2.7686,              0.0031687,              0.0031687,              0.0031687
                      6,                 1.0081,                 1.8944,                 2.5855,                0.57338,                0.10033,                0.07332,                0.02788,                 1.2476,                 2.7424,                  3.081,              0.0031358,              0.0031358,              0.0031358
                      7,                0.96791,                 1.7996,                 2.4989,                0.41049,                0.36678,                0.25034,                0.07996,                 1.0667,                 1.8832,                 2.7414,               0.003103,               0.003103,               0.003103
                      8,                0.94765,                 1.7577,                 2.4673,                0.18476,                0.33634,                0.17802,                0.06118,                 1.1181,                 2.5505,                 2.8106,              0.0030702,              0.0030702,              0.0030702
                      9,                0.93222,                  1.726,                 2.4413,                0.19418,                 0.3145,                0.18513,                0.06335,                 1.0761,                 2.1593,                 2.8001,              0.0030373,              0.0030373,              0.0030373
                     10,                0.90442,                 1.6654,                 2.3759,                0.29912,                0.38052,                0.30294,                0.12444,                0.98643,                 1.7368,                 2.5278,              0.0030045,              0.0030045,              0.0030045
