fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,bgr,mosaic,mixup,copy_paste
0.44002,0.00383,0.00577,0.91679,0.00052,2.5862,0.7165,4.14835,0.31837,1.53484,0.01368,0.48667,0.31194,0,0.08279,0.44777,0.0,0.0,0.5,0.26488,0.0,0.95993,0.5,0.0
0.45859,0.00353,0.00642,0.93972,0.00049,2.59252,0.69199,4.14835,0.28136,1.85023,0.01322,0.47785,0.33512,0.0,0.08046,0.45859,0.0,0.0,0.5,0.272,0.0,1.0,0.52467,0.0
0.45318,0.00348,0.00642,0.93875,0.00049,2.58115,0.69199,4.09788,0.28485,1.85023,0.01306,0.47785,0.33346,0.0,0.08035,0.46114,0.0,0.0,0.50539,0.27493,0.0,1.0,0.52168,0.0
0.4609,0.00344,0.00673,0.93875,0.00052,2.8303,0.80703,4.28651,0.28485,1.73248,0.01035,0.46319,0.33346,0.0,0.09063,0.44059,0.0,0.0,0.50511,0.28156,0.0,1.0,0.64692,0.0
0.46337,0.00353,0.00631,0.94026,0.00049,3.17785,0.71103,4.64344,0.27979,1.85023,0.01395,0.43613,0.34253,0.0,0.07067,0.45859,0.0,0.0,0.44577,0.31616,0.0,0.84742,0.41153,0.0
0.4395,0.00344,0.00645,0.98,0.00055,3.83676,0.95,4.02905,0.2,1.53213,0.01301,0.46319,0.29773,0.0,0.09063,0.47857,0.0,0.0,0.49895,0.28156,0.0,0.75097,0.62773,0.0
0.46194,0.00368,0.00631,0.95152,0.00048,3.28211,0.81805,4.74296,0.27016,2.3205,0.01394,0.27096,0.42854,0.0,0.07463,0.40537,0.0,0.0,0.39334,0.32474,0.0,0.72686,0.41153,0.0
0.45938,0.00339,0.00691,0.94591,0.00052,2.82248,0.7715,4.22905,0.2766,1.68865,0.01054,0.45735,0.33755,0.0,0.09009,0.45822,0.0,0.0,0.51582,0.28181,0.0,0.97784,0.64692,0.0
0.44939,0.00367,0.00631,0.94255,0.00049,3.17785,0.69238,4.29297,0.30705,1.9153,0.01395,0.43072,0.33316,0.0,0.06934,0.45859,0.0,0.0,0.4197,0.34234,0.0,0.78751,0.4486,0.0
0.448,0.00362,0.00614,0.93843,0.00049,3.23717,0.73617,4.52353,0.27462,1.89172,0.01409,0.43786,0.34253,0.0,0.07037,0.44122,0.0,0.0,0.45294,0.31333,0.0,0.84742,0.40755,0.0
0.45486,0.00312,0.00532,0.94414,0.00065,2.82248,0.89265,4.58514,0.24793,1.48243,0.01084,0.45456,0.33755,0.0,0.11045,0.46714,0.0,0.0,0.55217,0.31864,0.0,0.9393,0.61734,0.0
0.45095,0.00344,0.00735,0.95605,0.00052,3.363,0.8526,4.68178,0.30193,1.47773,0.00983,0.46768,0.33226,0.0,0.09063,0.4307,0.0,0.0,0.47751,0.29113,0.0,1.0,0.64692,0.0
0.44522,0.00368,0.0063,0.95216,0.00048,3.27999,0.81805,4.74296,0.26976,2.31312,0.01397,0.27171,0.42752,0.0,0.07487,0.40438,0.0,0.0,0.39334,0.32632,0.0,0.72599,0.41153,0.0
0.45095,0.00344,0.00629,0.94026,0.00049,3.23683,0.72411,4.64344,0.27824,1.8656,0.01358,0.43433,0.33771,0.0,0.07126,0.44367,0.0,0.0,0.44577,0.30729,0.0,0.84638,0.41153,0.0
0.45142,0.00339,0.00691,0.94731,0.00052,2.81538,0.77008,4.2503,0.2766,1.69218,0.01054,0.45969,0.33717,0.0,0.09014,0.45822,0.0,0.0,0.51582,0.28181,0.0,0.97558,0.64606,0.0
0.44151,0.00383,0.00824,0.95463,0.00054,3.48683,0.94571,4.26727,0.25794,1.28436,0.01046,0.51235,0.3261,0.0,0.07908,0.44244,0.0,0.0,0.44086,0.31598,0.0,1.0,0.57722,0.0
0.45771,0.00344,0.00653,0.92668,0.00046,3.33582,0.69755,5.2056,0.27016,2.21242,0.01594,0.30274,0.43207,0.0,0.08216,0.39315,0.0,0.0,0.39633,0.32474,0.0,0.77204,0.41171,0.0
0.45164,0.00368,0.00623,0.95389,0.0005,3.40837,0.8659,4.49043,0.27016,2.31556,0.01387,0.2684,0.43246,0.0,0.07286,0.40537,0.0,0.0,0.39334,0.32474,0.0,0.67536,0.42106,0.0
0.45657,0.0038,0.00631,0.93759,0.00049,3.33717,0.72223,4.65731,0.27979,1.94691,0.01423,0.43298,0.34458,0.0,0.07067,0.44605,0.0,0.0,0.44017,0.28823,0.0,0.84742,0.40489,0.0
0.43969,0.00285,0.0062,0.98,0.00049,3.3343,0.71103,3.50063,0.27979,1.36985,0.0123,0.38005,0.34253,0.0,0.07067,0.47083,0.0,0.0,0.44577,0.30255,0.0,0.7391,0.41262,0.0
0.46006,0.00314,0.00631,0.94026,0.00049,3.17785,0.8137,4.64344,0.27979,1.85023,0.01309,0.43567,0.33962,0.0,0.05894,0.52435,0.0,0.0,0.48228,0.27221,0.0,0.91101,0.42423,0.0
0.43824,0.00374,0.00673,0.96418,0.00052,2.8303,0.7279,4.73403,0.25602,1.70352,0.01127,0.42619,0.33346,0.0,0.09063,0.49016,0.0,0.0,0.50544,0.30381,0.0,1.0,0.60256,0.0
0.43997,0.00336,0.00631,0.97045,0.00038,3.28211,0.91801,5.02274,0.24373,1.86597,0.01669,0.29237,0.45402,0.0,0.07531,0.49312,0.0,0.0,0.42844,0.34252,0.0,0.75408,0.38467,0.0
0.45597,0.00368,0.00631,0.92342,0.00048,3.16953,0.95,3.64676,0.25998,2.3205,0.0148,0.2611,0.42854,0.0,0.08,0.42454,0.0,0.0,0.42719,0.33522,0.0,0.739,0.43574,0.0
0.44442,0.00352,0.00632,0.94148,0.00049,3.17044,0.71103,4.61004,0.28053,1.85974,0.01395,0.43613,0.34123,0.0,0.07086,0.45736,0.0,0.0,0.44823,0.31616,0.0,0.85075,0.41253,0.0
0.44548,0.00422,0.006,0.92947,0.00048,3.37982,0.81805,5.52822,0.25542,2.3205,0.01394,0.27287,0.46621,0.0,0.08006,0.49869,0.0,0.0,0.47526,0.42129,0.0,0.75708,0.48606,0.0
0.45257,0.00368,0.00494,0.95152,0.00033,4.38029,0.76449,3.82933,0.27532,2.94047,0.0134,0.29131,0.42854,0.0,0.07073,0.423,0.0,0.0,0.35094,0.31738,0.0,0.82843,0.43944,0.0
0.45174,0.00354,0.0063,0.93723,0.00049,3.14964,0.71173,4.67957,0.27867,1.85023,0.01402,0.43252,0.34253,0.0,0.07049,0.45835,0.0,0.0,0.44947,0.31238,0.0,0.84992,0.41153,0.0
0.44155,0.00387,0.00385,0.95388,0.00049,3.36003,0.71103,5.26581,0.23944,1.44984,0.012,0.43613,0.38294,0.0,0.08016,0.42168,0.0,0.0,0.48272,0.31616,0.0,0.71714,0.2852,0.0
0.45255,0.0044,0.00643,0.95152,0.00051,2.47375,0.78411,3.92127,0.24595,2.10444,0.01408,0.27303,0.40417,0.0,0.08829,0.40537,0.0,0.0,0.37731,0.31997,0.0,0.72686,0.41793,0.0
0.44171,0.0028,0.00673,0.89274,0.00053,2.8303,0.672,4.60114,0.25666,1.65599,0.01109,0.39307,0.34713,0.0,0.09427,0.44059,0.0,0.0,0.50891,0.28275,0.0,1.0,0.58659,0.0
0.43648,0.00368,0.00577,0.95987,0.0004,3.09431,0.62722,4.74296,0.21222,2.25767,0.01274,0.25479,0.42854,0.0,0.07708,0.40972,0.0,0.0,0.36812,0.33352,0.0,0.71477,0.45657,0.0
0.46227,0.00368,0.00564,0.93638,0.00051,3.55189,0.57704,3.61146,0.22737,2.38185,0.01622,0.27096,0.4351,0.0,0.06525,0.40733,0.0,0.0,0.39334,0.29593,0.0,0.72955,0.45943,0.0
0.43941,0.00302,0.00628,0.94551,0.00049,2.57259,0.71103,5.51613,0.38044,2.05361,0.01395,0.43613,0.32999,0.0,0.06649,0.45859,0.0,0.0,0.44577,0.27959,0.0,0.75902,0.48751,0.0
0.44507,0.00421,0.00672,0.88767,0.00043,2.92015,0.81805,4.74296,0.30067,2.91446,0.01432,0.23573,0.42854,0.0,0.08621,0.40743,0.0,0.0,0.39334,0.22868,0.0,0.68245,0.41024,0.0
0.46054,0.00339,0.00669,0.94288,0.00052,2.86737,0.78673,4.13185,0.28485,1.78664,0.01035,0.46437,0.33555,0.0,0.0915,0.44502,0.0,0.0,0.50544,0.28156,0.0,1.0,0.64069,0.0
0.4318,0.00368,0.0066,0.98,0.00048,2.82768,0.91481,4.74296,0.27118,2.3205,0.01394,0.28488,0.40134,0.0,0.07463,0.40537,0.0,0.0,0.39334,0.33099,0.0,0.75233,0.43501,0.0
0.45364,0.00312,0.00486,0.96796,0.00048,3.69056,0.84089,4.74296,0.32122,2.19189,0.01511,0.27096,0.31666,0.0,0.07386,0.44079,0.0,0.0,0.51033,0.32474,0.0,0.72686,0.37244,0.0
0.43995,0.00325,0.00593,0.97897,0.00051,3.21801,0.73028,4.64344,0.27652,1.88174,0.01379,0.47707,0.28153,0.0,0.06319,0.45859,0.0,0.0,0.48723,0.31616,0.0,0.93156,0.55235,0.0
0.443,0.00353,0.00665,0.96267,0.00055,3.17785,0.8473,5.07487,0.24588,2.16816,0.01395,0.51645,0.27779,0.0,0.07067,0.39744,0.0,0.0,0.44577,0.32836,0.0,0.8336,0.36221,0.0
