fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,bgr,mosaic,mixup,copy_paste
0.40659,0.00353,0.00631,0.94026,0.00049,3.17785,0.71103,4.64344,0.27979,1.85023,0.01395,0.43613,0.34253,0.0,0.07067,0.45859,0.0,0.0,0.44577,0.31616,0.0,0.84742,0.41153,0.0
0.41497,0.00353,0.00633,0.94026,0.00051,3.12279,0.69689,4.45501,0.2816,1.85726,0.01398,0.42202,0.33112,0.0,0.07155,0.45452,0.0,0.0,0.4397,0.31616,0.0,0.85755,0.41153,0.0
0.40345,0.00374,0.00633,0.96334,0.00051,3.41063,0.7173,4.28868,0.30984,1.73976,0.01398,0.45891,0.28817,0.0,0.06974,0.39421,0.0,0.0,0.39798,0.31868,0.0,0.8839,0.50926,0.0
