                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3595,                 2.5119,                 3.7265,                0.00068,                0.20879,                 0.0009,                0.00025,                 1.4291,                 12.058,                 3.9335,               0.067017,              0.0011185,              0.0011185
                      2,                 1.1248,                 2.1243,                 3.1422,                0.38471,                0.19964,                0.04444,                0.01114,                  1.161,                 3.4798,                 3.3188,               0.033566,              0.0022298,              0.0022298
                      3,                0.95999,                 1.9138,                  2.838,                0.72954,                0.05526,                0.04798,                0.01166,                 1.1647,                 7.8956,                 3.7477,              0.0032147,              0.0032147,              0.0032147
                      4,                 0.8869,                 1.7892,                 2.6599,                 0.1065,                0.43948,                0.11902,                 0.0415,                0.95006,                 3.1782,                 2.8259,              0.0031821,              0.0031821,              0.0031821
                      5,                0.84011,                 1.7026,                 2.5413,                0.11986,                0.33718,                0.08723,                0.02956,                0.97746,                  2.923,                 3.0636,              0.0031494,              0.0031494,              0.0031494
                      6,                0.79548,                 1.5931,                 2.4466,                0.58508,                0.11234,                0.10554,                0.03789,                0.99961,                 2.2792,                 3.2447,              0.0031168,              0.0031168,              0.0031168
                      7,                0.75481,                 1.5104,                 2.3447,                 0.3808,                0.44981,                0.30741,                0.10877,                0.83339,                 2.1156,                 2.6322,              0.0030842,              0.0030842,              0.0030842
                      8,                0.73557,                 1.4913,                 2.3017,                0.40338,                0.33451,                0.25698,                0.08878,                0.83141,                 1.6425,                 2.5061,              0.0030515,              0.0030515,              0.0030515
                      9,                0.73022,                 1.4542,                 2.2686,                0.19708,                0.31558,                0.15286,                0.05147,                0.97481,                 2.0465,                 3.0349,              0.0030189,              0.0030189,              0.0030189
                     10,                0.71311,                 1.4286,                 2.2295,                0.37569,                0.19269,                0.15849,                0.05205,                 1.0554,                 2.5312,                 3.0202,              0.0029862,              0.0029862,              0.0029862
                     11,                0.70522,                 1.3994,                 2.1916,                0.51707,                0.48263,                0.39257,                 0.1589,                0.73306,                 1.4064,                 2.2674,              0.0029536,              0.0029536,              0.0029536
                     12,                0.67745,                 1.3437,                 2.1452,                0.37608,                0.42509,                0.34159,                0.14309,                0.76692,                 1.4881,                 2.3423,               0.002921,               0.002921,               0.002921
