fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,bgr,mosaic,mixup,copy_paste
0.32246,0.00632,0.01031,0.88717,0.00057,3.40238,0.84908,5.71925,0.40458,1.71493,0.02287,0.46503,0.32027,0.0,0.08602,0.50842,0.0,0.0,0.0,0.44491,0.0,1.0,0.0,0.0
0.35135,0.00658,0.0094,0.88516,0.00057,3.35837,0.85613,5.57407,0.40762,1.6286,0.02234,0.52175,0.34947,0.0,0.08563,0.4907,0.0,0.0,0.0,0.42239,0.0,0.99097,0.0,0.0
0.33431,0.00574,0.00932,0.93794,0.00054,3.38618,0.71668,6.2579,0.44292,1.52151,0.01916,0.54876,0.33453,0.0,0.08755,0.41443,0.0,0.0,0.0,0.46108,0.0,0.94095,0.0,0.0
0.33202,0.00646,0.00947,0.86207,0.00056,3.2603,0.87863,5.37144,0.40737,1.68412,0.02243,0.52897,0.35147,0.0,0.08669,0.48772,0.0,0.0,0.0,0.44832,0.0,0.9955,0.0,0.0
0.34281,0.00689,0.00916,0.86788,0.00054,3.47895,0.82721,6.73969,0.33168,1.66416,0.02249,0.46315,0.35053,0.0,0.08916,0.47831,0.0,0.0,0.0,0.38994,0.0,0.97803,0.0,0.0
0.34937,0.00817,0.01098,0.88219,0.00059,3.37846,0.95,4.98014,0.36531,1.74329,0.01447,0.4933,0.28474,0.0,0.08218,0.33759,0.0,0.0,0.0,0.36252,0.0,1.0,0.0,0.0
0.34969,0.00689,0.00836,0.87653,0.00048,3.65435,0.71844,6.83362,0.464,1.67884,0.02329,0.49729,0.35399,0.0,0.08933,0.42536,0.0,0.0,0.0,0.46363,0.0,0.99427,0.0,0.0
0.23807,0.00669,0.00896,0.891,0.00048,3.7987,0.72578,6.49038,0.41714,1.66416,0.02053,0.50705,0.34652,0.0,0.08161,0.4036,0.0,0.0,0.0,0.4774,0.0,1.0,0.0,0.0
0.35087,0.00626,0.00858,0.83361,0.00056,3.12566,0.87076,4.24108,0.31523,1.5568,0.02157,0.49884,0.22929,0.0,0.09588,0.32303,0.0,0.0,0.0,0.51089,0.0,0.93533,0.0,0.0
0.36127,0.00637,0.00851,0.85084,0.00065,3.2487,0.94383,5.83989,0.40555,1.63846,0.02287,0.4204,0.33674,0.0,0.09602,0.48334,0.0,0.0,0.0,0.36965,0.0,1.0,0.0,0.0
0.35048,0.00655,0.00754,0.88589,0.0005,2.85798,0.65289,6.7285,0.38789,1.57263,0.01576,0.46518,0.39441,0.0,0.08529,0.52905,0.0,0.0,0.0,0.44928,0.0,0.9314,0.0,0.0
0.34429,0.00661,0.00947,0.88157,0.00058,3.44188,0.8369,5.58982,0.39725,1.61937,0.02248,0.5438,0.3567,0.0,0.08616,0.50573,0.0,0.0,0.0,0.41443,0.0,1.0,0.0,0.0
