                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2046,                 2.0116,                 4.1818,                0.16726,                0.16278,                0.00223,                0.00058,                 2.3671,                 4.5148,                 4.4495,               0.069492,              0.0011163,              0.0011163
                      2,                 1.8323,                 1.7498,                 3.4254,                0.55461,                0.04868,                0.03746,                   0.01,                 2.1096,                 4.8412,                 4.0944,                0.03855,              0.0022254,              0.0022254
                      3,                  1.658,                 1.6669,                 3.2126,                0.25927,                0.27346,                0.08107,                0.02425,                 1.7004,                 2.8538,                  3.406,              0.0075855,               0.003312,               0.003312
                      4,                 1.5517,                 1.5928,                 3.0528,                0.61041,                0.14091,                0.08534,                0.02684,                 1.6262,                 2.4892,                 3.3357,              0.0034248,              0.0034248,              0.0034248
                      5,                 1.4789,                 1.5373,                 2.9829,                0.00969,                 0.3508,                0.01207,                0.00351,                 1.9281,                 2.6046,                 3.9321,              0.0033897,              0.0033897,              0.0033897
                      6,                 1.4581,                 1.5328,                 2.9308,                0.59867,                0.15399,                0.08434,                0.03419,                 1.6997,                  1.901,                 3.4254,              0.0033546,              0.0033546,              0.0033546
                      7,                 1.3975,                 1.4469,                 2.8445,                 0.3933,                0.21825,                0.06768,                0.02105,                  1.751,                 4.4684,                 3.7568,              0.0033195,              0.0033195,              0.0033195
                      8,                 1.3884,                 1.3982,                 2.8216,                0.40987,                0.36737,                0.25204,                0.09744,                 1.3231,                 1.5448,                 2.8039,              0.0032845,              0.0032845,              0.0032845
                      9,                 1.3457,                 1.3763,                 2.7653,                0.44997,                0.32637,                0.29257,                0.11462,                 1.2822,                 1.3916,                 2.7012,              0.0032494,              0.0032494,              0.0032494
                     10,                 1.3286,                  1.345,                 2.7309,                0.39702,                0.31351,                0.27694,                0.11185,                 1.2982,                  1.355,                 2.7026,              0.0032143,              0.0032143,              0.0032143
                     11,                 1.3369,                 1.3353,                 2.7524,                0.73736,                0.12128,                0.17683,                0.06148,                 1.5345,                 2.1972,                 3.1108,              0.0031792,              0.0031792,              0.0031792
                     12,                  1.317,                 1.3312,                 2.7408,                0.56488,                  0.312,                0.32237,                0.12377,                 1.2918,                 1.3796,                 2.7311,              0.0031442,              0.0031442,              0.0031442
                     13,                 1.3131,                   1.32,                 2.6973,                0.48165,                0.36475,                0.31062,                 0.1296,                  1.245,                 1.4537,                 2.6267,              0.0031091,              0.0031091,              0.0031091
                     14,                 1.2864,                 1.3004,                 2.6641,                 0.4991,                0.36775,                 0.3451,                0.14012,                 1.2669,                 1.3292,                 2.7679,               0.003074,               0.003074,               0.003074
                     15,                 1.2772,                 1.2688,                 2.6443,                0.26863,                0.42344,                0.30275,                0.12142,                  1.218,                 1.3991,                 2.6235,              0.0030389,              0.0030389,              0.0030389
                     16,                 1.2505,                  1.253,                 2.6246,                0.44741,                0.37317,                0.32344,                0.12896,                 1.2624,                 1.2418,                 2.6232,              0.0030039,              0.0030039,              0.0030039
                     17,                 1.2557,                  1.255,                 2.6336,                0.54039,                0.43222,                0.44086,                0.19549,                 1.1506,                 1.1324,                  2.502,              0.0029688,              0.0029688,              0.0029688
                     18,                 1.2346,                 1.2336,                 2.5931,                0.57098,                0.38436,                0.39518,                0.16689,                 1.2387,                 1.1398,                 2.6497,              0.0029337,              0.0029337,              0.0029337
                     19,                 1.2144,                 1.2368,                 2.5754,                0.31516,                0.38861,                0.35599,                0.15511,                 1.2514,                 1.1887,                 2.6036,              0.0028986,              0.0028986,              0.0028986
                     20,                 1.2082,                 1.2081,                 2.5424,                0.43523,                0.47327,                0.43165,                0.19143,                 1.1487,                  1.134,                 2.5195,              0.0028635,              0.0028635,              0.0028635
                     21,                 1.1883,                 1.1785,                 2.5208,                0.55735,                0.33284,                 0.3425,                0.14498,                 1.2631,                 1.2993,                  2.684,              0.0028285,              0.0028285,              0.0028285
                     22,                 1.2054,                 1.1868,                 2.5308,                0.40709,                0.22946,                0.25608,                0.10568,                 1.3297,                 1.4699,                 2.8706,              0.0027934,              0.0027934,              0.0027934
                     23,                 1.1966,                 1.1831,                 2.5251,                0.56584,                0.42749,                0.43996,                0.20172,                 1.1481,                 1.1854,                 2.4754,              0.0027583,              0.0027583,              0.0027583
                     24,                 1.1974,                 1.1803,                 2.5166,                0.52208,                0.38288,                0.37542,                0.16178,                 1.3017,                 1.2114,                 2.7309,              0.0027232,              0.0027232,              0.0027232
                     25,                 1.1867,                 1.1778,                 2.5129,                0.54533,                0.40893,                0.38568,                0.17343,                 1.1478,                 1.1711,                 2.4974,              0.0026882,              0.0026882,              0.0026882
                     26,                 1.1766,                 1.1802,                 2.5189,                0.53311,                0.40164,                0.41646,                0.17573,                 1.2071,                 1.2315,                 2.5935,              0.0026531,              0.0026531,              0.0026531
                     27,                 1.1775,                 1.1662,                 2.4812,                0.59763,                0.32331,                0.40914,                 0.1823,                 1.1889,                 1.1912,                 2.5868,               0.002618,               0.002618,               0.002618
                     28,                 1.1636,                 1.1577,                 2.4575,                0.59881,                0.47217,                0.50888,                0.23039,                 1.1147,                 1.0504,                 2.4217,              0.0025829,              0.0025829,              0.0025829
                     29,                 1.1717,                 1.1523,                 2.4653,                0.65788,                0.34805,                0.42263,                0.18534,                 1.1469,                 1.2537,                  2.465,              0.0025479,              0.0025479,              0.0025479
                     30,                 1.1638,                 1.1314,                 2.4651,                0.36871,                0.43588,                0.39585,                0.17424,                 1.2527,                 1.2619,                 2.6909,              0.0025128,              0.0025128,              0.0025128
